Date;Country;CPI
1.7.24;Canada;0.43
1.8.24;Canada;-0.19
1.9.24;Canada;-0.43
1.1.12;Chile;0.09
1.2.12;Chile;0.39
1.3.12;Chile;0.17
1.4.12;Chile;0.05
1.5.12;Chile;0.02
1.6.12;Chile;-0.29
1.7.12;Chile;-0.01
1.8.12;Chile;0.22
1.9.12;Chile;0.77
1.10.12;Chile;0.57
1.11.12;Chile;-0.46
1.12.12;Chile;-0.02
1.1.13;Chile;0.18
1.2.13;Chile;0.11
1.3.13;Chile;0.38
1.4.13;Chile;-0.48
1.5.13;Chile;-0.01
1.6.13;Chile;0.64
1.7.13;Chile;0.26
1.8.13;Chile;0.24
1.9.13;Chile;0.55
1.10.13;Chile;0.14
1.11.13;Chile;0.37
1.12.13;Chile;0.60
1.1.14;Chile;0.18
1.2.14;Chile;0.49
1.3.14;Chile;0.84
1.4.14;Chile;0.62
1.5.14;Chile;0.34
1.6.14;Chile;0.05
1.7.14;Chile;0.24
1.8.14;Chile;0.32
1.9.14;Chile;0.84
1.10.14;Chile;1.03
1.11.14;Chile;0.03
1.12.14;Chile;-0.41
1.1.15;Chile;0.07
1.2.15;Chile;0.36
1.3.15;Chile;0.62
1.4.15;Chile;0.59
1.5.15;Chile;0.18
1.6.15;Chile;0.48
1.7.15;Chile;0.41
1.8.15;Chile;0.69
1.9.15;Chile;0.51
1.10.15;Chile;0.41
1.11.15;Chile;-0.03
1.12.15;Chile;0.01
1.1.16;Chile;0.47
1.2.16;Chile;0.28
1.3.16;Chile;0.38
1.4.16;Chile;0.33
1.5.16;Chile;0.22
1.6.16;Chile;0.45
1.7.16;Chile;0.24
1.8.16;Chile;0.05
1.9.16;Chile;0.24
1.10.16;Chile;0.17
1.11.16;Chile;0.05
1.12.16;Chile;-0.21
1.1.17;Chile;0.54
1.2.17;Chile;0.24
1.3.17;Chile;0.38
1.4.17;Chile;0.25
1.5.17;Chile;0.12
1.6.17;Chile;-0.39
1.7.17;Chile;0.24
1.8.17;Chile;0.21
